Date,avg_temp,max_temp,min_temp,Month,Year
01-08-2019,53,67,39,8,2019
01-09-2019,55,69,41,9,2019
02-08-2019,56,68,46,8,2019
02-09-2019,56,69,43,9,2019
03-08-2019,69,83,55,8,2019
03-09-2019,68,82,56,9,2019
04-08-2019,83,99,69,8,2019
04-09-2019,86,101,71,9,2019
05-08-2019,96,110,79,8,2019
05-09-2019,96,110,82,9,2019
06-08-2019,101,113,85,8,2019
06-09-2019,101,115,85,9,2019
07-08-2019,91,101,39,8,2019
07-09-2019,88,101,83,9,2019
08-08-2019,90,99,80,8,2019
08-09-2019,86,93,79,9,2019
13-08-2019,85,98,72,8,2019
14-08-2019,85,98,78,8,2019
15-08-2019,85,92,76,8,2019
16-08-2019,83,92,79,8,2019
17-08-2019,79,83,77,8,2019
18-08-2019,81,86,76,8,2019
19-08-2019,86,94,76,8,2019
20-08-2019,87,96,79,8,2019
21-08-2019,88,97,79,8,2019
22-08-2019,85,98,78,8,2019
23-08-2019,89,99,79,8,2019
24-08-2019,85,99,71,8,2019
25-08-2019,82,93,78,8,2019
26-08-2019,87,96,77,8,2019
27-08-2019,89,98,80,8,2019
28-08-2019,90,100,81,8,2019
29-08-2019,89,100,78,8,2019
30-08-2019,89,100,80,8,2019
31-08-2019,89,100,83,8,2019
09-08-2019,89,98,79,8,2019
09-09-2019,90,101,81,9,2019
13-09-2019,89,102,81,9,2019
14-09-2019,87,102,81,9,2019
15-09-2019,85,96,80,9,2019
16-09-2019,89,99,80,9,2019
17-09-2019,87,99,76,9,2019
18-09-2019,85,98,78,9,2019
19-09-2019,82,97,76,9,2019
20-09-2019,85,95,75,9,2019
21-09-2019,80,99,61,9,2019
22-09-2019,79,99,72,9,2019
23-09-2019,81,89,73,9,2019
24-09-2019,82,90,73,9,2019
25-09-2019,83,92,74,9,2019
26-09-2019,83,94,77,9,2019
27-09-2019,81,93,76,9,2019
28-09-2019,80,90,73,9,2019
29-09-2019,79,90,74,9,2019
30-09-2019,80,89,73,9,2019
10-08-2019,79,89,68,8,2019
10-09-2019,81,93,69,9,2019
11-08-2019,73,85,61,8,2019
11-09-2019,72,84,60,9,2019
12-08-2019,62,74,50,8,2019
12-09-2019,61,73,48,9,2019
